case,seed,cube_x_m,cube_y_m,cube_z_m,cube_yaw_deg,reward,terminated,truncated,success,final_state,failed_stage,reason,failure_category,lift_height_m,hold_duration_s,gripper_width_m,initial_observation_finite,final_observation_finite,non_finite_detected,joint_limit_violation,maximum_joint_limit_excess_rad,physics_steps_observed,simulation_duration_s,wall_duration_s,stage_trace
0,0,0.45821770445870824,-0.027625604458300257,0.019927597829905285,-27.540881251517657,1.0,True,False,True,DONE,,none,none,0.07768942346776431,0.5,0.039930980402316255,True,True,False,False,0.0,5126,10.252000000000592,0.9670209999894723,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
1,1,0.45070929747224164,0.05405564275403697,0.019927597829905275,-21.351357598990276,1.0,True,False,True,DONE,,none,none,0.0777135444197692,0.5,0.03993098040234844,True,True,False,False,0.0,5126,10.252000000000592,0.9622703999048099,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
2,2,0.4356967229213021,-0.024181059722726807,0.019927597829905264,18.854291051681592,1.0,True,False,True,DONE,,none,none,0.07731696521412637,0.5,0.03993098041764266,True,True,False,False,0.0,5126,10.252000000000592,0.9475577999837697,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
3,3,0.42513895073669267,-0.031582745390639856,0.019927597829905264,18.075396323451198,1.0,True,False,True,DONE,,none,none,0.07734180369755168,0.5,0.039930980417579434,True,True,False,False,0.0,5126,10.252000000000592,0.9502479999791831,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
4,4,0.4765833657410934,0.001359305911331245,0.019927597829905306,28.57369226783991,1.0,True,False,True,DONE,,none,none,0.077276622070159,0.5,0.039930980417645284,True,True,False,False,0.0,5126,10.252000000000592,0.9498685001162812,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
5,5,0.46830018160744874,0.036952878972512634,0.019927597829905264,0.9203372265987559,1.0,True,False,True,DONE,,none,none,0.07752538930534872,0.5,0.03993098040468343,True,True,False,False,0.0,5126,10.252000000000592,0.9600598000688478,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
6,6,0.45228985981719094,-0.01880748695291637,0.01992759782990531,-7.8551265542054365,1.0,True,False,True,DONE,,none,none,0.07767718908754853,0.5,0.03993098040377216,True,True,False,False,0.0,5126,10.252000000000592,0.9703992999857292,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
7,7,0.4575057366803175,0.04766564484078882,0.01992759782990526,16.541906416719947,1.0,True,False,True,DONE,,none,none,0.07733062247838084,0.5,0.03993098041748106,True,True,False,False,0.0,5126,10.252000000000592,0.9532192000187933,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
8,8,0.4396183542778366,0.05847321794854614,0.01992759782990527,-10.878143338465513,1.0,True,False,True,DONE,,none,none,0.07773868647417626,0.5,0.03993098040301546,True,True,False,False,0.0,5127,10.254000000000593,0.9660298000089824,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
9,9,0.4722150818264942,-0.02558184371473472,0.019927597829905254,6.188893466610327,1.0,True,False,True,DONE,,none,none,0.07749107582803494,0.5,0.0399309804048764,True,True,False,False,0.0,5126,10.252000000000592,0.9677142000291497,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
10,10,0.47736010241022353,-0.03507818413030767,0.0199275978299053,19.707587661080193,1.0,True,False,True,DONE,,none,none,0.07728565943269654,0.5,0.03993098041688471,True,True,False,False,0.0,5126,10.252000000000592,0.9691872999537736,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
11,11,0.4277142119260382,-8.665651806765852e-05,0.01992759782990532,6.0894826995803975,1.0,True,False,True,DONE,,none,none,0.07756096922356541,0.5,0.03993098040535022,True,True,False,False,0.0,5127,10.254000000000593,0.9593753000954166,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
12,12,0.43504947465258226,0.05361036805403971,0.01992759782990529,-18.641576698742533,1.0,True,False,True,DONE,,none,none,0.07776299183965361,0.5,0.03993098040244024,True,True,False,False,0.0,5127,10.254000000000593,0.9582624000031501,RESET>MOVE_ABOVE>APPROACH>CLOSE_GRIPPER>VERIFY_CONTACT>LIFT>CHECK_SUCCESS>DONE
